id,salinity,temperature
0,33.44,10.5
1,33.44,10.46
2,33.437,10.46
3,33.42,10.45
4,33.421,10.45
5,33.431,10.45
6,33.44,10.45
7,33.424,10.24
8,33.42,10.06
9,33.494,9.86
10,33.51,9.83
11,33.58,9.67
12,33.64,9.5
13,33.689,9.32
14,33.847,8.76
15,33.86,8.71
16,33.876,8.53
18,33.926,8.26
19,33.98,7.96
20,33.99,7.77
21,34.04,6.8
22,34.056,6.55
23,34.113,5.78
24,34.16,5.3
25,34.161,5.29
26,34.21,5.01
27,34.261,4.72
28,34.31,4.44
29,32.95,10.1
30,32.94,9.89
31,32.939,9.75
32,32.95,9.69
33,33.013,9.52
34,33.24,9.06
35,33.272,9.04
36,33.46,8.92
37,33.488,8.83
38,33.6,8.37
39,33.631,8.26
40,33.745,7.85
41,33.8,7.64
42,33.833,7.5
43,33.93,6.98
44,33.939,6.85
45,33.943,6.32
46,33.95,6.05
47,33.957,5.95
48,34.0,5.6
49,34.016,5.5
50,34.101,5.02
51,34.16,4.74
52,34.188,4.62
53,34.259,4.33
54,34.319,4.08
55,34.34,3.99
56,34.354,3.85
57,34.378,3.62
58,34.403,3.38
59,34.429,3.15
60,34.43,3.14
61,32.63,10.2
62,32.66,10.05
63,32.66,9.95
64,32.66,9.94
65,32.673,9.92
66,32.68,9.87
67,32.75,9.62
68,32.736,9.66
69,32.66,9.9
70,32.74,9.65
71,32.765,9.62
72,33.12,9.23
73,33.132,9.21
74,33.398,8.79
75,33.605,8.37
76,33.82,7.71
77,33.844,7.58
78,33.926,6.93
79,33.93,6.47
80,33.941,6.37
81,34.041,5.54
82,34.11,5.02
83,34.113,4.97
84,34.135,4.59
85,34.151,4.31
86,34.16,4.14
87,34.169,4.11
88,34.252,3.89
89,34.336,3.66
90,34.421,3.43
91,34.45,3.35
92,32.68,10.4
93,32.7,10.22
94,32.694,10.2
95,32.66,10.14
96,32.657,10.14
97,32.641,10.07
99,32.699,9.72
100,32.79,9.42
101,32.967,9.32
102,33.1,9.27
103,33.286,9.02
104,33.533,8.6
105,33.55,8.56
106,33.746,8.32
107,33.84,8.18
108,33.863,7.71
109,33.89,7.16
110,33.893,7.08
111,33.91,6.61
112,33.75,6.38
113,33.955,5.79
114,34.0,5.14
115,34.01,5.1
116,34.128,4.65
117,34.245,4.31
118,34.29,4.21
119,34.309,4.07
120,34.34,3.83
121,34.372,3.59
122,34.4,3.39
123,32.75,10.5
124,32.75,10.52
125,32.748,10.51
126,32.74,10.48
127,32.74,10.47
128,32.737,10.34
130,32.738,9.85
131,32.74,9.7
132,32.74,9.29
133,32.791,9.2
134,33.42,9.35
135,33.565,8.28
136,33.62,8.24
137,33.724,7.95
138,33.78,7.5
139,33.807,7.42
140,33.938,6.98
141,33.95,6.94
142,33.988,6.54
143,34.0,5.86
144,34.012,5.77
145,34.075,5.3
146,34.141,4.83
147,34.211,4.36
148,34.25,4.1
